x-axis,1,2
second,Volt,Volt
-126.22000E-06,+987.49995232E-03,+450.00004768E-03
-126.20000E-06,+799.99995232E-03,+450.00004768E-03
-126.18000E-06,+1.29999995232E+00,+575.00004768E-03
-126.16000E-06,+924.99995232E-03,+575.00004768E-03
-126.14000E-06,+674.99995232E-03,+512.50004768E-03
-126.12000E-06,+49.99995232E-03,+512.50004768E-03
-126.10000E-06,+112.49995232E-03,+512.50004768E-03
-126.08000E-06,-12.50004768E-03,+512.50004768E-03
-126.06000E-06,-200.00004768E-03,+575.00004768E-03
-126.04000E-06,-387.50004768E-03,+512.50004768E-03
-126.02000E-06,-137.50004768E-03,+575.00004768E-03
-126.00000E-06,-137.50004768E-03,+575.00004768E-03
-125.98000E-06,-137.50004768E-03,+637.50004768E-03
-125.96000E-06,-75.00004768E-03,+575.00004768E-03
-125.94000E-06,+49.99995232E-03,+575.00004768E-03
-125.92000E-06,+49.99995232E-03,+575.00004768E-03
-125.90000E-06,+112.49995232E-03,+575.00004768E-03
-125.88000E-06,+237.49995232E-03,+575.00004768E-03
-125.86000E-06,+612.49995231E-03,+575.00004768E-03
-125.84000E-06,+924.99995231E-03,+637.50004768E-03
-125.82000E-06,+1.04999995232E+00,+700.00004768E-03
-125.80000E-06,+1.36249995231E+00,+575.00004769E-03
-125.78000E-06,+1.48749995231E+00,+637.50004768E-03
-125.76000E-06,+1.54999995232E+00,+512.50004769E-03
-125.74000E-06,+1.54999995232E+00,+637.50004768E-03
-125.72000E-06,+1.48749995232E+00,+512.50004769E-03
-125.70000E-06,+1.48749995232E+00,+575.00004768E-03
-125.68000E-06,+1.42499995232E+00,+575.00004768E-03
-125.66000E-06,+1.42499995232E+00,+637.50004768E-03
-125.64000E-06,+1.29999995232E+00,+575.00004768E-03
-125.62000E-06,+1.23749995232E+00,+575.00004768E-03
-125.60000E-06,+1.11249995232E+00,+512.50004768E-03
-125.58000E-06,+987.49995232E-03,+575.00004768E-03
-125.56000E-06,+737.49995232E-03,+512.50004768E-03
-125.54000E-06,+487.49995232E-03,+575.00004768E-03
-125.52000E-06,+299.99995232E-03,+575.00004768E-03
-125.50000E-06,-12.50004768E-03,+575.00004768E-03
-125.48000E-06,-75.00004768E-03,+512.50004768E-03
-125.46000E-06,-137.50004768E-03,+637.50004768E-03
-125.44000E-06,-137.50004768E-03,+512.50004769E-03
-125.42000E-06,-137.50004768E-03,+575.00004768E-03
-125.40000E-06,-75.00004769E-03,+575.00004768E-03
-125.38000E-06,-12.50004769E-03,+575.00004768E-03
