x-axis,1
second,Volt
-121.078000E-06,+299.999952316E-03
-121.076000E-06,+362.499952316E-03
-121.074000E-06,+299.999952317E-03
-121.072000E-06,+362.499952316E-03
-121.070000E-06,+299.999952317E-03
-121.068000E-06,+362.499952316E-03
-121.066000E-06,+362.499952316E-03
-121.064000E-06,+362.499952315E-03
-121.062000E-06,+299.999952316E-03
-121.060000E-06,+299.999952318E-03
-121.058000E-06,+362.499952316E-03
-121.056000E-06,+362.499952315E-03
-121.054000E-06,+299.999952316E-03
-121.052000E-06,+299.999952316E-03
-121.050000E-06,+299.999952318E-03
-121.048000E-06,+362.499952314E-03
-121.046000E-06,+299.999952314E-03
-121.044000E-06,+237.499952321E-03
-121.042000E-06,+362.499952316E-03
-121.040000E-06,+362.499952314E-03
-121.038000E-06,+299.999952319E-03
-121.036000E-06,+362.499952313E-03
-121.034000E-06,+299.999952319E-03
-121.032000E-06,+362.499952310E-03
-121.030000E-06,+237.499952323E-03
-121.028000E-06,+362.499952316E-03
-121.026000E-06,+362.499952316E-03
-121.024000E-06,+362.499952312E-03
-121.022000E-06,+299.999952320E-03
-121.020000E-06,+362.499952316E-03
-121.018000E-06,+362.499952316E-03
-121.016000E-06,+362.499952312E-03
-121.014000E-06,+299.999952316E-03
-121.012000E-06,+299.999952316E-03
-121.010000E-06,+299.999952321E-03
-121.008000E-06,+362.499952311E-03
-121.006000E-06,+299.999952321E-03
-121.004000E-06,+362.499952316E-03
-121.002000E-06,+362.499952316E-03
-121.000000E-06,+362.499952311E-03
-120.998000E-06,+299.999952316E-03
-120.996000E-06,+299.999952328E-03
-120.994000E-06,+424.999952316E-03
-120.992000E-06,+424.999952310E-03
-120.990000E-06,+362.499952316E-03
-120.988000E-06,+362.499952323E-03
-120.986000E-06,+424.999952310E-03
-120.984000E-06,+362.499952316E-03
-120.982000E-06,+362.499952316E-03
-120.980000E-06,+362.499952323E-03
-120.978000E-06,+424.999952309E-03
-120.976000E-06,+362.499952316E-03
-120.974000E-06,+362.499952324E-03
-120.972000E-06,+424.999952316E-03
-120.970000E-06,+424.999952316E-03
-120.968000E-06,+424.999952309E-03
-120.966000E-06,+362.499952316E-03
-120.964000E-06,+362.499952316E-03
-120.962000E-06,+362.499952324E-03
-120.960000E-06,+424.999952308E-03
-120.958000E-06,+362.499952325E-03
-120.956000E-06,+424.999952325E-03
-120.954000E-06,+487.499952308E-03
-120.952000E-06,+424.999952308E-03
-120.950000E-06,+362.499952325E-03
-120.948000E-06,+424.999952325E-03
-120.946000E-06,+487.499952316E-03
-120.944000E-06,+487.499952307E-03
-120.942000E-06,+424.999952316E-03
-120.940000E-06,+424.999952326E-03
-120.938000E-06,+487.499952316E-03
-120.936000E-06,+487.499952306E-03
-120.934000E-06,+424.999952316E-03
-120.932000E-06,+424.999952316E-03
-120.930000E-06,+424.999952327E-03
-120.928000E-06,+487.499952316E-03
-120.926000E-06,+487.499952306E-03
-120.924000E-06,+424.999952316E-03
-120.922000E-06,+424.999952316E-03
-120.920000E-06,+424.999952316E-03
-120.918000E-06,+424.999952316E-03
-120.916000E-06,+424.999952327E-03
-120.914000E-06,+487.499952328E-03
-120.912000E-06,+549.999952305E-03
-120.910000E-06,+487.499952316E-03
-120.908000E-06,+487.499952316E-03
-120.906000E-06,+487.499952316E-03
-120.904000E-06,+487.499952304E-03
-120.902000E-06,+424.999952328E-03
-120.900000E-06,+487.499952316E-03
-120.898000E-06,+487.499952316E-03
-120.896000E-06,+487.499952304E-03
-120.894000E-06,+424.999952329E-03
-120.892000E-06,+487.499952316E-03
-120.890000E-06,+487.499952329E-03
-120.888000E-06,+549.999952316E-03
-120.886000E-06,+549.999952303E-03
-120.884000E-06,+487.499952316E-03
-120.882000E-06,+487.499952330E-03
-120.880000E-06,+549.999952303E-03
-120.878000E-06,+487.499952316E-03
-120.876000E-06,+487.499952316E-03
-120.874000E-06,+487.499952330E-03
-120.872000E-06,+549.999952316E-03
-120.870000E-06,+549.999952316E-03
-120.868000E-06,+549.999952302E-03
-120.866000E-06,+487.499952331E-03
-120.864000E-06,+549.999952302E-03
-120.862000E-06,+487.499952331E-03
-120.860000E-06,+549.999952316E-03
-120.858000E-06,+549.999952316E-03
-120.856000E-06,+549.999952316E-03
-120.854000E-06,+549.999952332E-03
-120.852000E-06,+612.499952316E-03
-120.850000E-06,+612.499952301E-03
-120.848000E-06,+549.999952316E-03
-120.846000E-06,+549.999952332E-03
-120.844000E-06,+612.499952316E-03
-120.842000E-06,+612.499952316E-03
-120.840000E-06,+612.499952283E-03
-120.838000E-06,+487.499952316E-03
-120.836000E-06,+487.499952350E-03
-120.834000E-06,+612.499952299E-03
-120.832000E-06,+549.999952316E-03
-120.830000E-06,+549.999952316E-03
-120.828000E-06,+549.999952299E-03
-120.826000E-06,+487.499952334E-03
-120.824000E-06,+549.999952316E-03
-120.822000E-06,+549.999952316E-03
-120.820000E-06,+549.999952316E-03
-120.818000E-06,+549.999952334E-03
-120.816000E-06,+612.499952298E-03
-120.814000E-06,+549.999952334E-03
-120.812000E-06,+612.499952316E-03
-120.810000E-06,+612.499952298E-03
-120.808000E-06,+549.999952335E-03
-120.806000E-06,+612.499952298E-03
-120.804000E-06,+549.999952335E-03
-120.802000E-06,+612.499952297E-03
-120.800000E-06,+549.999952316E-03
-120.798000E-06,+549.999952316E-03
-120.796000E-06,+549.999952316E-03
-120.794000E-06,+549.999952316E-03
-120.792000E-06,+549.999952316E-03
-120.790000E-06,+549.999952336E-03
-120.788000E-06,+612.499952316E-03
-120.786000E-06,+612.499952296E-03
-120.784000E-06,+549.999952296E-03
-120.782000E-06,+487.499952337E-03
-120.780000E-06,+549.999952337E-03
-120.778000E-06,+612.499952316E-03
-120.776000E-06,+612.499952295E-03
-120.774000E-06,+549.999952316E-03
-120.772000E-06,+549.999952295E-03
-120.770000E-06,+487.499952337E-03
-120.768000E-06,+549.999952338E-03
-120.766000E-06,+612.499952316E-03
-120.764000E-06,+612.499952295E-03
-120.762000E-06,+549.999952316E-03
-120.760000E-06,+549.999952316E-03
-120.758000E-06,+549.999952338E-03
-120.756000E-06,+612.499952316E-03
-120.754000E-06,+612.499952294E-03
-120.752000E-06,+549.999952316E-03
-120.750000E-06,+549.999952316E-03
-120.748000E-06,+549.999952339E-03
-120.746000E-06,+612.499952293E-03
-120.744000E-06,+549.999952316E-03
-120.742000E-06,+549.999952316E-03
-120.740000E-06,+549.999952316E-03
-120.738000E-06,+549.999952316E-03
