x-axis,1,2
second,Volt,Volt
-7.60000E-06,,
-7.57500E-06,+18.44068786201E+00,-245.08483693E-03
-7.55000E-06,+18.44800620781E+00,-237.29707408E-03
-7.52500E-06,+18.44439473040E+00,-253.72222394E-03
-7.50000E-06,+18.44417285499E+00,-247.72502995E-03
-7.47500E-06,+18.43867285488E+00,-233.43187401E-03
-7.45000E-06,+18.44011958658E+00,-222.31428398E-03
-7.42500E-06,+18.43651429018E+00,-244.63897552E-03
-7.40000E-06,+18.42577675648E+00,-247.47628225E-03
-7.37500E-06,+18.44009075446E+00,-230.28785383E-03
-7.35000E-06,+18.43622676045E+00,-237.92979777E-03
-7.32500E-06,+18.41529780733E+00,-258.91520908E-03
-7.30000E-06,+18.43701540373E+00,-230.61160273E-03
-7.27500E-06,+18.45397031082E+00,-241.46371113E-03
-7.25000E-06,+18.44370042280E+00,-252.59622602E-03
-7.22500E-06,+18.41511090735E+00,-243.36158070E-03
-7.20000E-06,+18.41129670057E+00,-226.24649517E-03
-7.17500E-06,+18.42884276034E+00,-254.35539991E-03
-7.15000E-06,+18.43569003075E+00,-239.69775321E-03
-7.12500E-06,+18.44623388044E+00,-237.54201518E-03
-7.10000E-06,+18.43537544029E+00,-245.15972507E-03
-7.07500E-06,+18.43222482453E+00,-246.44703210E-03
-7.05000E-06,+18.44748199087E+00,-245.24904810E-03
-7.02500E-06,+18.44181853338E+00,-256.57238263E-03
-7.00000E-06,+18.42765189957E+00,-246.64278901E-03
-6.97500E-06,+18.44848497175E+00,-226.18249917E-03
-6.95000E-06,+18.44589064630E+00,-248.91664450E-03
-6.92500E-06,+18.44039019393E+00,-248.33860761E-03
-6.90000E-06,+18.44817060742E+00,-247.01771963E-03
-6.87500E-06,+18.43948335781E+00,-233.61296987E-03
-6.85000E-06,+18.43396677452E+00,-245.61127752E-03
-6.82500E-06,+18.42964858982E+00,-243.11931552E-03
-6.80000E-06,+18.43901880263E+00,-235.05702565E-03
-6.77500E-06,+18.44183289290E+00,-253.15183793E-03
-6.75000E-06,+18.44572843265E+00,-242.06820573E-03
-6.72500E-06,+18.43929773926E+00,-232.38313863E-03
-6.70000E-06,+18.42648512209E+00,-242.17667480E-03
-6.67500E-06,+18.43331245500E+00,-241.83426982E-03
-6.65000E-06,+18.44191908775E+00,-240.31004944E-03
-6.62500E-06,+18.43582544749E+00,-246.89191360E-03
-6.60000E-06,+18.43548941196E+00,-241.60813555E-03
-6.57500E-06,+18.42135556762E+00,-251.91612719E-03
-6.55000E-06,+18.44174647192E+00,-254.42467237E-03
